區,民主進步黨,親民黨,自由台灣黨,和平鴿聯盟黨,軍公教聯盟黨,民國黨,信心希望聯盟,中華統一促進黨,中國國民黨,台灣團結聯盟,時代力量,大愛憲改聯盟,綠黨社會民主黨聯盟,台灣獨立黨,無黨團結聯盟,新黨,健保免費連線,樹黨,網址
宜蘭縣員山鄉,9246,876,66,47,116,146,152,51,3241,578,897,32,392,55,60,364,63,84,http://www.cec.gov.tw/zh_TW/T4/n708000700000000.html
宜蘭縣冬山鄉,15717,1408,88,81,195,259,243,113,5109,830,1857,46,700,84,359,534,121,191,http://www.cec.gov.tw/zh_TW/T4/n708000800000000.html
宜蘭縣五結鄉,11706,1091,71,72,174,187,185,84,3933,668,1361,31,482,61,160,443,113,116,http://www.cec.gov.tw/zh_TW/T4/n708000900000000.html
宜蘭縣三星鄉,6307,641,51,62,63,118,85,41,2491,427,585,19,244,42,78,273,41,69,http://www.cec.gov.tw/zh_TW/T4/n708001000000000.html
宜蘭縣大同鄉,427,570,7,14,16,73,132,13,1231,39,51,3,22,5,34,80,13,13,http://www.cec.gov.tw/zh_TW/T4/n708001100000000.html
宜蘭縣南澳鄉,264,443,11,6,21,87,104,55,1413,27,34,0,26,2,42,42,9,3,http://www.cec.gov.tw/zh_TW/T4/n708001200000000.html
花蓮縣,42612,11949,466,610,1622,2075,4671,842,67516,2180,6277,156,3338,352,641,5882,491,670,http://www.cec.gov.tw/zh_TW/T4/n709000000000000.html
花蓮縣花蓮市,14876,3736,135,128,609,619,1965,248,20138,691,2136,42,1491,89,138,2629,136,249,http://www.cec.gov.tw/zh_TW/T4/n709000100000000.html
花蓮縣新城鄉,2512,813,34,59,119,134,258,55,4222,117,324,10,162,24,38,297,31,49,http://www.cec.gov.tw/zh_TW/T4/n709000200000000.html
花蓮縣秀林鄉,1100,811,23,21,54,125,246,55,3207,77,174,8,72,14,183,100,34,17,http://www.cec.gov.tw/zh_TW/T4/n709000300000000.html
花蓮縣吉安鄉,12371,3249,103,98,484,532,1145,226,16477,512,1699,49,968,91,96,1766,118,188,http://www.cec.gov.tw/zh_TW/T4/n709000400000000.html
花蓮縣壽豐鄉,2652,628,30,63,59,133,193,37,3841,171,341,12,155,28,29,254,37,35,http://www.cec.gov.tw/zh_TW/T4/n709000500000000.html
花蓮縣鳳林鎮,1537,382,13,23,52,65,73,23,2620,95,260,5,92,14,14,157,14,14,http://www.cec.gov.tw/zh_TW/T4/n709000600000000.html
花蓮縣光復鄉,1317,410,37,44,41,94,125,32,3016,93,475,8,78,10,14,151,21,19,http://www.cec.gov.tw/zh_TW/T4/n709000700000000.html
花蓮縣豐濱鄉,296,106,8,20,21,16,33,7,1122,23,115,2,26,6,11,23,9,7,http://www.cec.gov.tw/zh_TW/T4/n709000800000000.html
花蓮縣萬榮鄉,294,213,10,11,36,50,122,5,1490,26,98,0,22,5,49,30,9,5,http://www.cec.gov.tw/zh_TW/T4/n709000900000000.html
花蓮縣瑞穗鄉,1400,364,22,55,27,65,74,21,2632,101,186,5,54,18,14,107,15,17,http://www.cec.gov.tw/zh_TW/T4/n709001000000000.html
花蓮縣玉里鎮,2811,794,34,58,86,141,276,115,4852,172,345,12,155,28,35,243,39,39,http://www.cec.gov.tw/zh_TW/T4/n709001100000000.html
花蓮縣富里鄉,1248,290,14,24,18,49,47,13,2278,84,90,3,50,20,7,103,19,28,http://www.cec.gov.tw/zh_TW/T4/n709001200000000.html
花蓮縣卓溪鄉,198,153,3,6,16,52,114,5,1621,18,34,0,13,5,13,22,9,3,http://www.cec.gov.tw/zh_TW/T4/n709001300000000.html
臺東縣,28582,7949,545,187,1187,1721,2611,367,39545,1995,3518,120,1956,229,431,3684,328,354,http://www.cec.gov.tw/zh_TW/T4/n710000000000000.html
臺東縣臺東市,15930,3999,207,78,753,881,1141,201,17707,1073,2078,54,1124,109,201,2377,170,208,http://www.cec.gov.tw/zh_TW/T4/n710000100000000.html
臺東縣成功鎮,1399,538,54,8,39,121,156,27,2741,87,220,9,75,13,15,143,24,10,http://www.cec.gov.tw/zh_TW/T4/n710000200000000.html
臺東縣關山鎮,1120,286,35,12,32,73,26,6,1673,72,115,7,64,9,20,141,14,11,http://www.cec.gov.tw/zh_TW/T4/n710000300000000.html
臺東縣卑南鄉,2816,701,55,14,62,107,195,39,3088,186,252,13,151,23,45,264,36,22,http://www.cec.gov.tw/zh_TW/T4/n710000400000000.html
臺東縣鹿野鄉,1302,266,28,15,30,47,29,12,1265,85,112,3,102,9,61,103,9,18,http://www.cec.gov.tw/zh_TW/T4/n710000500000000.html
臺東縣池上鄉,1198,224,22,3,37,56,38,22,1389,102,104,7,77,12,9,85,10,12,http://www.cec.gov.tw/zh_TW/T4/n710000600000000.html
臺東縣東河鄉,913,265,24,7,23,66,60,15,1856,97,106,8,89,12,11,80,13,17,http://www.cec.gov.tw/zh_TW/T4/n710000700000000.html
臺東縣長濱鄉,716,225,29,9,36,57,64,3,1512,38,108,3,74,9,6,60,10,10,http://www.cec.gov.tw/zh_TW/T4/n710000800000000.html
臺東縣太麻里鄉,1649,413,27,13,39,91,189,15,2081,112,124,2,64,15,15,141,9,21,http://www.cec.gov.tw/zh_TW/T4/n710000900000000.html
臺東縣大武鄉,588,215,12,6,15,35,123,6,1244,55,62,3,19,1,1,62,9,0,http://www.cec.gov.tw/zh_TW/T4/n710001000000000.html
臺東縣綠島鄉,199,118,4,2,13,15,8,2,549,17,32,0,19,4,8,45,6,1,http://www.cec.gov.tw/zh_TW/T4/n710001100000000.html
臺東縣海端鄉,172,142,18,7,32,59,70,2,1002,21,57,5,11,4,15,37,4,4,http://www.cec.gov.tw/zh_TW/T4/n710001200000000.html
臺東縣延平鄉,182,75,7,1,36,49,154,4,883,9,30,3,10,3,3,27,6,9,http://www.cec.gov.tw/zh_TW/T4/n710001300000000.html
臺東縣金峰鄉,94,125,4,2,10,19,163,5,1120,10,29,0,16,1,3,32,2,1,http://www.cec.gov.tw/zh_TW/T4/n710001400000000.html
臺東縣達仁鄉,145,106,3,1,15,26,125,2,997,11,32,0,10,0,7,33,2,2,http://www.cec.gov.tw/zh_TW/T4/n710001500000000.html
臺東縣蘭嶼鄉,159,251,16,9,15,19,70,6,438,20,57,3,51,5,11,54,4,8,http://www.cec.gov.tw/zh_TW/T4/n710001600000000.html
澎湖縣,15948,2450,141,97,684,304,260,126,6616,1020,1361,44,614,125,10397,1267,110,318,http://www.cec.gov.tw/zh_TW/T4/n711000000000000.html
澎湖縣馬公市,9751,1654,85,52,490,194,186,92,4765,689,991,21,452,66,6194,894,73,225,http://www.cec.gov.tw/zh_TW/T4/n711000100000000.html
澎湖縣湖西鄉,2824,301,19,14,105,44,29,13,712,126,152,6,67,18,1540,159,19,52,http://www.cec.gov.tw/zh_TW/T4/n711000200000000.html
澎湖縣白沙鄉,1339,155,12,16,41,27,20,5,520,75,72,5,28,12,1030,123,8,16,http://www.cec.gov.tw/zh_TW/T4/n711000300000000.html
澎湖縣西嶼鄉,1344,147,13,6,35,21,16,12,385,72,85,5,30,12,968,47,6,10,http://www.cec.gov.tw/zh_TW/T4/n711000400000000.html
澎湖縣望安鄉,481,75,4,6,6,13,6,3,145,49,31,3,19,5,295,25,0,5,http://www.cec.gov.tw/zh_TW/T4/n711000500000000.html
澎湖縣七美鄉,209,118,8,3,7,5,3,1,89,9,30,4,18,12,370,19,4,10,http://www.cec.gov.tw/zh_TW/T4/n711000600000000.html
基隆市,70467,17675,821,696,1487,3810,3413,1084,58429,4487,11652,280,4454,488,743,9978,1164,1213,http://www.cec.gov.tw/zh_TW/T4/n712000000000000.html
基隆市中正區,9621,2539,113,89,194,530,523,169,8310,667,1506,33,540,64,84,1309,171,162,http://www.cec.gov.tw/zh_TW/T4/n712000100000000.html
基隆市信義區,8952,2512,110,76,263,521,517,188,8938,611,1778,30,711,78,96,1898,143,183,http://www.cec.gov.tw/zh_TW/T4/n712000200000000.html
基隆市仁愛區,9185,1976,133,93,150,461,341,116,6817,663,1382,39,519,58,92,1153,127,154,http://www.cec.gov.tw/zh_TW/T4/n712000300000000.html
基隆市中山區,9653,2327,123,104,193,706,277,159,7419,623,1463,38,510,61,121,1085,205,149,http://www.cec.gov.tw/zh_TW/T4/n712000400000000.html
基隆市安樂區,15369,3934,145,134,344,748,745,222,12709,901,2693,54,1058,100,152,2201,226,260,http://www.cec.gov.tw/zh_TW/T4/n712000500000000.html
基隆市暖暖區,6694,1934,85,58,173,367,373,118,6111,390,1146,24,517,39,64,1141,102,114,http://www.cec.gov.tw/zh_TW/T4/n712000600000000.html
基隆市七堵區,10993,2453,112,142,170,477,637,112,8125,632,1684,62,599,88,134,1191,190,191,http://www.cec.gov.tw/zh_TW/T4/n712000700000000.html
新竹市,84150,15804,718,392,1338,5927,4147,995,62507,4638,19170,282,6574,469,947,9837,1072,1616,http://www.cec.gov.tw/zh_TW/T4/n713000000000000.html
新竹市東區,35423,7263,279,157,636,3108,2516,496,30959,2042,9436,111,3701,196,352,5321,463,878,http://www.cec.gov.tw/zh_TW/T4/n713000100000000.html
新竹市北區,31135,5597,268,112,502,1810,1150,352,21335,1682,6398,102,2022,157,387,3388,377,510,http://www.cec.gov.tw/zh_TW/T4/n713000200000000.html
新竹市香山區,17592,2944,171,123,200,1009,481,147,10213,914,3336,69,851,116,208,1128,232,228,http://www.cec.gov.tw/zh_TW/T4/n713000300000000.html
嘉義市,64114,8138,738,272,1448,1845,2085,728,33728,4689,9484,144,3459,274,938,4928,455,778,http://www.cec.gov.tw/zh_TW/T4/n714000000000000.html
嘉義市東區,27761,3696,306,121,748,879,1162,348,16405,2223,4308,65,1768,109,361,2398,204,401,http://www.cec.gov.tw/zh_TW/T4/n714000100000000.html
嘉義市西區,36353,4442,432,151,700,966,923,380,17323,2466,5176,79,1691,165,577,2530,251,377,http://www.cec.gov.tw/zh_TW/T4/n714000200000000.html
金門縣,3946,2482,98,55,494,589,345,749,20142,393,1008,47,1142,53,184,4064,138,250,http://www.cec.gov.tw/zh_TW/T4/n801000000000000.html
金門縣金城鎮,1282,762,21,9,142,183,111,287,6436,111,286,9,407,10,51,1432,51,73,http://www.cec.gov.tw/zh_TW/T4/n801000100000000.html
金門縣金寧鄉,1102,513,21,28,130,139,88,148,4098,101,323,14,384,14,47,741,35,77,http://www.cec.gov.tw/zh_TW/T4/n801000200000000.html
金門縣烈嶼鄉,229,195,14,2,30,38,23,60,1776,11,57,1,77,6,9,463,9,22,http://www.cec.gov.tw/zh_TW/T4/n801000300000000.html
金門縣烏坵鄉,7,6,0,0,1,4,0,0,53,0,2,0,1,0,0,6,0,0,http://www.cec.gov.tw/zh_TW/T4/n801000400000000.html
金門縣金湖鎮,897,625,21,10,136,141,86,142,4571,78,197,14,154,11,44,851,24,50,http://www.cec.gov.tw/zh_TW/T4/n801000500000000.html
金門縣金沙鎮,429,381,21,6,55,84,37,112,3208,92,143,9,119,12,33,571,19,28,http://www.cec.gov.tw/zh_TW/T4/n801000600000000.html
連江縣,395,413,9,10,66,64,63,64,2509,15,113,5,131,9,12,484,7,61,http://www.cec.gov.tw/zh_TW/T4/n802000000000000.html
連江縣南竿鄉,237,229,5,6,36,38,50,50,1526,9,70,1,70,6,7,291,5,34,http://www.cec.gov.tw/zh_TW/T4/n802000100000000.html
連江縣北竿鄉,69,69,3,4,10,9,6,7,435,4,25,2,35,1,1,93,0,11,http://www.cec.gov.tw/zh_TW/T4/n802000200000000.html
連江縣莒光鄉,51,57,0,0,4,12,1,6,279,0,5,0,15,0,1,51,1,8,http://www.cec.gov.tw/zh_TW/T4/n802000300000000.html
