區,民主進步黨,親民黨,自由台灣黨,和平鴿聯盟黨,軍公教聯盟黨,民國黨,信心希望聯盟,中華統一促進黨,中國國民黨,台灣團結聯盟,時代力量,大愛憲改聯盟,綠黨社會民主黨聯盟,台灣獨立黨,無黨團結聯盟,新黨,健保免費連線,樹黨,網址
新竹縣新豐鄉,9119,2134,102,84,131,2558,321,166,8419,375,1435,52,561,69,125,732,210,158,http://www.cec.gov.tw/zh_TW/T4/n701000600000000.html
新竹縣芎林鄉,3352,904,52,59,63,812,168,54,3995,160,529,10,244,25,27,307,68,56,http://www.cec.gov.tw/zh_TW/T4/n701000700000000.html
新竹縣橫山鄉,2064,635,41,22,34,534,46,51,2970,83,270,21,116,18,22,190,38,29,http://www.cec.gov.tw/zh_TW/T4/n701000800000000.html
新竹縣北埔鄉,1504,462,38,21,23,416,40,44,1855,73,214,6,90,16,19,99,21,32,http://www.cec.gov.tw/zh_TW/T4/n701000900000000.html
新竹縣寶山鄉,2388,593,39,36,39,477,166,36,2782,163,414,15,200,25,25,306,26,54,http://www.cec.gov.tw/zh_TW/T4/n701001000000000.html
新竹縣峨眉鄉,1227,203,22,14,10,251,42,33,1127,44,99,7,33,6,7,82,9,13,http://www.cec.gov.tw/zh_TW/T4/n701001100000000.html
新竹縣尖石鄉,645,586,12,12,17,266,256,12,1591,45,100,13,49,14,105,64,30,14,http://www.cec.gov.tw/zh_TW/T4/n701001200000000.html
新竹縣五峰鄉,372,344,9,2,14,156,91,16,949,14,42,4,12,4,28,36,6,9,http://www.cec.gov.tw/zh_TW/T4/n701001300000000.html
苗栗縣,97679,23229,1203,1476,1776,11042,2791,2698,100362,4921,14653,458,5253,840,2009,9328,1455,1507,http://www.cec.gov.tw/zh_TW/T4/n702000000000000.html
苗栗縣竹南鎮,15072,3228,199,199,247,2677,506,207,12260,776,2820,69,865,137,291,1319,248,236,http://www.cec.gov.tw/zh_TW/T4/n702000100000000.html
苗栗縣造橋鄉,2140,538,33,51,33,370,76,49,2656,111,314,20,78,25,63,237,34,31,http://www.cec.gov.tw/zh_TW/T4/n702000200000000.html
苗栗縣後龍鎮,7253,1174,97,118,94,985,103,103,5822,400,817,25,309,76,296,427,85,93,http://www.cec.gov.tw/zh_TW/T4/n702000300000000.html
苗栗縣西湖鄉,1011,348,16,34,22,129,27,35,1781,74,141,6,54,16,30,118,29,31,http://www.cec.gov.tw/zh_TW/T4/n702000400000000.html
苗栗縣通霄鎮,8392,1107,68,104,85,490,129,79,5322,541,940,41,239,82,433,459,103,87,http://www.cec.gov.tw/zh_TW/T4/n702000500000000.html
苗栗縣銅鑼鄉,2711,779,39,53,71,346,89,81,4180,116,391,17,182,31,48,313,30,41,http://www.cec.gov.tw/zh_TW/T4/n702000600000000.html
苗栗縣苑裡鎮,12636,1402,122,95,134,538,158,144,6324,663,1410,51,504,91,145,443,114,121,http://www.cec.gov.tw/zh_TW/T4/n702000700000000.html
苗栗縣三義鄉,2709,784,33,86,61,292,93,85,3629,141,482,16,164,40,30,295,58,62,http://www.cec.gov.tw/zh_TW/T4/n702000800000000.html
苗栗縣頭份市,14298,4552,173,223,312,2388,631,425,18094,540,2811,78,1007,99,276,1909,305,314,http://www.cec.gov.tw/zh_TW/T4/n702000900000000.html
苗栗縣三灣鄉,1207,303,20,26,24,151,28,43,1615,61,144,10,50,14,16,110,15,32,http://www.cec.gov.tw/zh_TW/T4/n702001000000000.html
苗栗縣南庄鄉,1364,598,27,36,18,190,33,56,2294,78,143,16,80,15,21,179,25,14,http://www.cec.gov.tw/zh_TW/T4/n702001100000000.html
苗栗縣苗栗市,13418,3864,145,167,374,1298,503,898,18578,625,2291,47,1050,86,171,2073,211,257,http://www.cec.gov.tw/zh_TW/T4/n702001200000000.html
苗栗縣頭屋鄉,1790,465,18,25,31,238,38,117,2618,78,252,7,95,19,26,180,22,20,http://www.cec.gov.tw/zh_TW/T4/n702001300000000.html
苗栗縣獅潭鄉,671,246,17,14,11,70,17,24,1168,27,61,4,24,3,6,61,10,6,http://www.cec.gov.tw/zh_TW/T4/n702001400000000.html
苗栗縣公館鄉,5711,1887,89,110,125,475,146,223,6712,294,814,22,295,44,55,625,78,81,http://www.cec.gov.tw/zh_TW/T4/n702001500000000.html
苗栗縣大湖鄉,2424,724,48,69,53,151,58,52,3021,110,279,7,81,22,30,281,35,31,http://www.cec.gov.tw/zh_TW/T4/n702001600000000.html
苗栗縣泰安鄉,520,546,20,10,19,67,76,43,1496,34,81,3,28,3,33,65,14,15,http://www.cec.gov.tw/zh_TW/T4/n702001700000000.html
苗栗縣卓蘭鎮,4352,684,39,56,62,187,80,34,2792,252,462,19,148,37,39,234,39,35,http://www.cec.gov.tw/zh_TW/T4/n702001800000000.html
彰化縣,289796,47811,3273,2225,5186,10936,6884,2282,185848,20770,41762,1201,13034,1909,3334,15346,3663,3937,http://www.cec.gov.tw/zh_TW/T4/n703000000000000.html
彰化縣伸港鄉,7414,1419,83,63,70,299,190,52,5681,519,1172,41,341,63,122,357,95,122,http://www.cec.gov.tw/zh_TW/T4/n703000100000000.html
彰化縣線西鄉,3147,829,46,41,38,154,81,13,2816,252,513,28,159,30,43,166,53,67,http://www.cec.gov.tw/zh_TW/T4/n703000200000000.html
彰化縣和美鎮,19914,3610,197,197,237,749,523,129,13404,1388,3292,91,966,133,258,1048,292,330,http://www.cec.gov.tw/zh_TW/T4/n703000300000000.html
彰化縣鹿港鎮,21182,3000,210,181,209,589,441,134,11495,1533,3201,67,775,140,304,981,264,228,http://www.cec.gov.tw/zh_TW/T4/n703000400000000.html
彰化縣福興鄉,11442,1691,139,88,112,344,224,58,6328,802,2079,55,401,72,108,391,149,132,http://www.cec.gov.tw/zh_TW/T4/n703000500000000.html
彰化縣秀水鄉,9336,1495,88,56,117,325,204,49,5642,698,1322,38,352,74,100,419,122,104,http://www.cec.gov.tw/zh_TW/T4/n703000600000000.html
彰化縣彰化市,51329,9147,543,283,1015,2626,1845,425,35047,3456,8727,175,3107,339,700,3786,653,823,http://www.cec.gov.tw/zh_TW/T4/n703000700000000.html
彰化縣花壇鄉,10201,1823,161,97,127,417,268,98,7615,646,1486,60,434,66,130,616,158,130,http://www.cec.gov.tw/zh_TW/T4/n703000800000000.html
彰化縣芬園鄉,6308,923,94,43,93,764,136,33,3107,411,700,35,204,33,110,207,70,57,http://www.cec.gov.tw/zh_TW/T4/n703000900000000.html
彰化縣芳苑鄉,8388,1292,118,65,204,215,164,51,4013,531,707,50,195,46,70,247,91,88,http://www.cec.gov.tw/zh_TW/T4/n703001000000000.html
彰化縣二林鎮,10223,1874,170,83,247,356,221,150,8229,800,1219,61,354,69,132,568,145,125,http://www.cec.gov.tw/zh_TW/T4/n703001100000000.html
彰化縣埔鹽鄉,6544,1378,118,107,157,269,148,277,5396,483,936,38,253,49,92,341,106,102,http://www.cec.gov.tw/zh_TW/T4/n703001200000000.html
彰化縣溪湖鎮,11713,2224,153,138,259,411,253,95,8054,913,1628,50,508,67,120,631,157,147,http://www.cec.gov.tw/zh_TW/T4/n703001300000000.html
彰化縣埔心鄉,8764,1352,91,61,150,273,138,48,4397,612,1010,40,358,57,65,352,92,116,http://www.cec.gov.tw/zh_TW/T4/n703001400000000.html
彰化縣大城鄉,3288,630,65,27,79,100,46,34,2605,269,253,13,60,22,55,165,40,54,http://www.cec.gov.tw/zh_TW/T4/n703001500000000.html
彰化縣竹塘鄉,4116,407,44,17,80,87,56,27,2020,307,302,12,75,22,28,136,30,43,http://www.cec.gov.tw/zh_TW/T4/n703001600000000.html
彰化縣埤頭鄉,7260,964,94,69,202,203,122,75,4091,520,766,33,251,53,89,275,94,73,http://www.cec.gov.tw/zh_TW/T4/n703001700000000.html
彰化縣北斗鎮,7451,1174,80,48,175,184,131,44,4801,580,1058,27,268,46,69,387,100,80,http://www.cec.gov.tw/zh_TW/T4/n703001800000000.html
彰化縣溪州鄉,8140,975,95,65,206,193,101,48,3585,613,722,33,251,49,78,238,106,84,http://www.cec.gov.tw/zh_TW/T4/n703001900000000.html
彰化縣大村鄉,8537,1311,81,69,97,291,152,48,5255,539,1151,32,333,51,90,380,112,123,http://www.cec.gov.tw/zh_TW/T4/n703002000000000.html
彰化縣員林市,26397,4620,224,147,544,869,728,195,18474,1892,4459,81,1640,153,204,1754,276,387,http://www.cec.gov.tw/zh_TW/T4/n703002100000000.html
彰化縣永靖鄉,8732,1381,100,51,138,310,180,41,5308,713,1239,23,424,68,100,405,100,132,http://www.cec.gov.tw/zh_TW/T4/n703002200000000.html
彰化縣社頭鄉,10563,1465,81,80,245,269,185,40,5903,739,1292,32,456,66,94,455,127,111,http://www.cec.gov.tw/zh_TW/T4/n703002300000000.html
彰化縣田尾鄉,6188,938,69,57,95,208,106,36,3981,595,850,26,238,46,54,302,84,114,http://www.cec.gov.tw/zh_TW/T4/n703002400000000.html
彰化縣田中鎮,9287,1344,90,72,210,277,183,52,6155,675,1235,41,505,64,79,582,113,114,http://www.cec.gov.tw/zh_TW/T4/n703002500000000.html
彰化縣二水鄉,3932,545,39,20,80,154,58,30,2446,284,443,19,126,31,40,157,34,51,http://www.cec.gov.tw/zh_TW/T4/n703002600000000.html
南投縣,101727,20374,1152,706,2317,5781,3430,1045,77449,8011,13759,432,5237,928,1192,8498,1587,1638,http://www.cec.gov.tw/zh_TW/T4/n704000000000000.html
南投縣草屯鎮,21292,4082,205,142,500,1226,575,167,14582,1418,3185,90,1148,154,195,1729,269,292,http://www.cec.gov.tw/zh_TW/T4/n704000100000000.html
南投縣國姓鄉,3768,900,61,24,54,248,96,60,3159,259,390,23,121,39,57,244,52,52,http://www.cec.gov.tw/zh_TW/T4/n704000200000000.html
南投縣埔里鎮,15041,3241,141,75,284,751,541,216,12817,1189,2048,52,930,158,168,1247,311,268,http://www.cec.gov.tw/zh_TW/T4/n704000300000000.html
南投縣仁愛鄉,974,891,30,15,82,193,183,41,3493,71,176,7,51,13,29,145,41,20,http://www.cec.gov.tw/zh_TW/T4/n704000400000000.html
南投縣中寮鄉,3434,607,43,31,42,184,59,19,2144,259,283,15,106,34,107,183,44,41,http://www.cec.gov.tw/zh_TW/T4/n704000500000000.html
南投縣魚池鄉,3337,576,44,21,50,131,88,60,2180,331,326,21,182,42,24,185,54,57,http://www.cec.gov.tw/zh_TW/T4/n704000600000000.html
南投縣南投市,19526,4538,214,134,614,991,758,201,15947,1634,3351,83,1416,152,228,2449,323,374,http://www.cec.gov.tw/zh_TW/T4/n704000700000000.html
南投縣名間鄉,9914,1361,105,69,156,493,219,63,5024,871,1111,43,322,102,93,567,127,110,http://www.cec.gov.tw/zh_TW/T4/n704000800000000.html
南投縣集集鎮,2279,469,27,12,69,118,54,13,1709,223,264,13,90,19,27,207,41,76,http://www.cec.gov.tw/zh_TW/T4/n704000900000000.html
南投縣竹山鎮,12774,1703,103,95,262,735,235,104,7694,958,1499,45,481,101,115,937,162,204,http://www.cec.gov.tw/zh_TW/T4/n704001000000000.html
